ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	ma_20	ma_50	ma_100	ma_200	sma_distance_pct	rs_leadership	rs_spy_20d	structure	structure_shift	day_vol	flow	energy	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_context.vcp.base_range_pct	elder_context.vcp.vcp_tightness_pct	elder_pattern	mp_accel_state	rs_down_day_20d	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
CHYM	56	False	XLF	Financials	Declining — Avoid	28.36	23.3	21.53	22.09	40.68	LEADER	54.81	76.8	RANGE	0.61	61.8	61.3	32.78	null	null	False	null	NONE	False	False	47.0	22.3	null	ACCELERATING	3.75	BEARISH	1	31.24	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
AEM	10	False	XLB	Materials	Momentum Fading — Hold, Don't Add	173.31	161.01	176.28	184.36	34.19	LEADER	45.25	84.2	ABOVE_STRUCTURE	1.69	78.9	63.0	216.06	null	null	False	null	NONE	False	False	43.8	38.3	null	DECELERATING	2.63	NONE	0	208.41	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CXW	21	False	XLRE	Real Estate	Momentum Building — Add	31.9	30.89	25.92	22.25	10.11	LEADER	4.86	71.6	RANGE	1.71	94.7	80.7	34.01	null	null	False	null	NONE	False	False	20.1	46.5	CORRECTION_REENTRY	FLAT	2.32	MIXED	3	32.48	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
MAN	64	False	XLI	Industrials	Declining — Avoid	56.43	46.32	38.04	33.69	32.65	LEADER	16.09	84.2	ABOVE_STRUCTURE	0.83	61.8	73.1	61.45	null	null	False	null	NONE	False	False	21.3	47.2	ACCUMULATION_BASE	DECELERATING	0.96	NONE	0	59.07	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CWK	74	False	XLRE	Real Estate	Momentum Building — Add	13.97	13.57	13.51	14.23	9.21	LAGGARD	12.88	80.0	ABOVE_STRUCTURE	0.73	72.4	62.2	14.82	null	null	False	null	NONE	False	False	19.8	59.4	null	ACCELERATING	-0.66	BEARISH	4	14.22	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
GIS	145	False	XLP	Consumer Staples	Momentum Fading — Hold, Don't Add	37.63	36.57	35.58	40.22	9.29	LEADER	7.31	73.7	null	0.61	59.2	60.5	39.97	null	null	False	null	NONE	False	False	12.5	49.9	null	ACCELERATING	0.51	BULLISH	0	38.86	no valid bracket — no structural resistance above price
DKNG	166	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	24.4	25.21	24.67	27.0	3.81	LAGGARD	10.11	56.8	ABOVE_STRUCTURE	0.66	50.0	54.6	26.17	null	null	False	null	NONE	False	False	22.1	47.8	INTERRUPTED	ACCELERATING	-0.32	BULLISH	0	24.92	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
DBX	114	False	XLK	Technology	Momentum Fading — Hold, Don't Add	33.74	30.4	27.9	27.41	13.38	IN-LINE	14.46	73.7	RANGE	0.46	40.8	79.0	34.47	null	null	False	null	NONE	False	False	20.7	19.4	ACCUMULATION_BASE	ACCELERATING	0.07	BEARISH	2	33.25	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CCC	50	False	XLK	Technology	Momentum Fading — Hold, Don't Add	6.69	5.86	5.46	6.21	27.24	LEADER	24.55	72.6	ABOVE_STRUCTURE	0.55	72.4	69.7	7.46	null	null	False	null	NONE	False	False	34.9	42.1	null	ACCELERATING	0.67	NONE	0	7.1	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
YUM	170	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	149.64	153.23	154.12	154.63	-0.16	LEADER	-0.89	38.9	RANGE	1.49	78.9	60.0	152.99	null	null	False	null	NONE	True	False	15.0	45.6	INTERRUPTED	ACCELERATING	0.56	BULLISH	0	148.48	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
