ticker	rank	held	structure	structure_shift	sma_distance_pct	atr_14d	atr_caution	day_vol	mp_state	mp_accel_state	lens	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_pattern	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
BHP	116	False	83.2	ABOVE_STRUCTURE	13.34	2.57	False	1.43	BUILDING	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	97.03	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	94.46	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
TSLA	73	False	48.4	BEARISH_CHOCH	-0.82	13.86	False	1.68	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""strong"", ""structure"": ""warn"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	362.86	337.24	swing_low_2	True	7.06	NONE	False	False	CORRECTION_REENTRY	NONE	0	349.0	null
DIS	134	False	77.9	ABOVE_STRUCTURE	7.93	2.27	False	0.63	STRONG	null	"{""leadership"": ""--"", ""coil"": ""--"", ""insti_money"": ""--"", ""structure"": ""ok"", ""resistance"": ""--"", ""extension"": null, ""sector"": ""strong""}"	107.78	null	null	False	null	null	null	null	null	null	null	105.52	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
NOW	83	False	89.5	ABOVE_STRUCTURE	17.96	6.27	False	0.56	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	128.48	120.31	ma200	True	6.36	NONE	False	False	INTERRUPTED	NONE	0	122.21	null
WT	71	False	84.2	BULLISH_BOS	18.53	0.83	False	0.75	STRONG	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""strong"", ""structure"": ""strong"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""warn""}"	23.51	null	null	False	null	NONE	False	False	null	BEARISH	2	22.68	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
TGT	38	False	73.7	ABOVE_STRUCTURE	17.39	4.98	False	1.46	STRONG	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	165.44	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	160.46	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
KMX	39	False	82.1	BULLISH_BOS	11.67	2.14	False	0.75	BUILDING	ACCELERATING	"{""leadership"": ""ok"", ""coil"": ""strong"", ""insti_money"": ""strong"", ""structure"": ""strong"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	62.13	null	null	False	null	NONE	True	False	INTERRUPTED	NONE	0	59.99	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
RIVN	171	False	44.2	ABOVE_STRUCTURE	3.33	0.83	False	1.54	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	16.97	null	null	False	null	NONE	True	False	INTERRUPTED	BULLISH	0	16.14	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
RIO	111	False	61.1	ABOVE_STRUCTURE	9.41	2.5	False	1.31	BUILDING	null	"{""leadership"": ""--"", ""coil"": ""--"", ""insti_money"": ""--"", ""structure"": ""ok"", ""resistance"": ""--"", ""extension"": null, ""sector"": ""strong""}"	105.3	102.56	fib_618	True	2.6	null	null	null	ACCELERATION	null	null	102.8	null
BDX	44	False	73.7	ABOVE_STRUCTURE	18.96	4.58	False	1.33	STRONG	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	192.0	null	null	False	null	NONE	False	False	CORRECTION_REENTRY	NONE	0	187.42	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
