# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.risk_pct	bracket.stop	bracket.stop_atr_dist	bracket.stop_type	choch_state	day_vol	div_bear_count	div_state	energy	flow	lens.coil	lens.resistance	lens.structure	ma_200	ma_50	mp_accel_state	mp_state	pin_bar_state	sma_distance_pct	structure	structure_shift
PFE	28.67	2	False	0.51	26	null	null	null	null	1	0.79	0	NONE	76.5	73.7	ok	strong	ok	26.34	26.98	3	1	NONE	6.26	71.6	4
TH	20.58	2	False	0.96	28	null	null	null	null	2	0.89	0	NONE	66.4	68.4	warn	ok	strong	13.7	17.77	3	2	NONE	15.82	64.2	3
INTC	123.0	2	False	6.26	null	null	null	null	null	2	0.91	0	NONE	65.5	61.8	warn	ok	ok	79.2	99.05	1	3	NONE	24.18	55.8	1
PPG	107.52	1	False	2.48	null	3.54	103.71	1.54	11	1	0.89	0	NONE	30.3	53.9	warn	ok	ok	111.89	112.17	1	2	NONE	-4.15	34.7	4
BIRK	33.6	1	False	1.31	null	3.99	32.26	1.02	4	1	1.67	0	BULLISH	30.3	59.2	warn	warn	warn	39.42	36.21	1	1	NONE	-7.21	31.4	2
APLE	16.19	1	False	0.32	28	2.16	15.84	1.09	3	2	0.77	0	BULLISH	55.5	51.3	ok	strong	ok	14.03	16.15	1	1	NONE	0.26	40.0	1
BETA	23.85	1	False	1.64	null	7.34	22.1	1.07	2	2	0.46	0	NONE	70.6	19.7	strong	ok	ok	20.19	21.6	1	1	NONE	10.43	42.1	1
VLTO	97.14	1	False	1.75	null	null	null	null	null	1	0.94	0	NONE	76.5	34.2	strong	strong	ok	93.07	96.22	1	1	NONE	0.95	44.2	4
ALAB	364.62	4	True	23.1	null	11.94	321.08	1.89	3	2	0.76	0	BULLISH	60.5	71.1	warn	strong	ok	236.21	305.03	1	2	NONE	19.54	50.5	1
GLW	156.74	1	False	8.12	null	null	null	null	null	2	0.64	0	NONE	68.9	28.9	strong	ok	warn	148.85	152.78	1	2	NONE	2.59	44.6	2
WT	24.33	2	False	0.95	24	null	null	null	null	1	0.48	3	BEARISH	80.7	73.7	ok	ok	ok	17.84	22.47	1	2	NONE	8.26	60.4	4
ADI	393.6	1	False	11.42	41	null	null	null	null	2	0.68	0	BULLISH	58.8	73.7	warn	strong	ok	356.48	373.19	1	1	NONE	5.47	69.5	1
QQQ	744.5	2	False	9.54	null	null	null	null	null	2	0.91	0	BULLISH	60.5	84.2	warn	strong	ok	665.59	712.65	1	2	NONE	4.47	68.4	1
SRAD	13.24	1	False	0.6	27	null	null	null	null	2	0.57	0	NONE	62.2	69.7	strong	warn	warn	16.21	13.3	1	2	NONE	-0.48	46.3	2
M	22.64	1	False	0.83	47	4.33	21.66	1.18	10	1	0.69	0	BULLISH	60.3	51.3	strong	warn	warn	21.6	23.28	1	1	NONE	-2.75	28.4	2
MKSI	260.82	1	False	12.17	27	null	null	null	null	1	0.51	0	BULLISH	46.6	78.9	strong	warn	warn	269.42	282.79	1	2	NONE	-7.77	26.3	2
PENG	56.22	1	False	3.32	null	9.36	50.96	1.59	7	2	1.14	0	NONE	60.5	64.5	ok	warn	ok	38.86	53.42	1	2	NONE	5.24	37.7	1
ORLY	86.12	1	False	1.93	null	3.96	82.71	1.77	10	1	0.62	0	NONE	50.4	47.4	strong	ok	warn	91.17	88.45	1	1	NONE	-2.63	36.8	2
MMM	169.55	1	False	3.44	null	2.37	165.53	1.17	1	2	0.88	0	NONE	53.3	78.9	strong	ok	ok	160.67	173.43	1	2	NONE	-2.24	31.6	4
LUV	42.68	1	False	1.29	null	4.33	40.83	1.44	8	1	1.2	0	NONE	52.7	84.2	ok	warn	ok	43.47	42.77	1	1	NONE	-0.2	44.2	4
SN	177.74	1	False	6.68	28	null	null	null	null	2	0.57	0	NONE	63.9	26.3	ok	ok	strong	133.22	172.2	1	1	NONE	3.22	44.6	3
AMGN	414.61	1	False	10.6	26	6.05	389.51	2.37	1	2	0.59	0	NONE	57.1	78.9	warn	strong	ok	362.12	404.7	1	1	NONE	2.45	47.4	4
SFNC	23.23	1	False	0.45	null	null	null	null	null	1	1.04	0	NONE	66.4	43.4	strong	strong	ok	21.3	23.18	1	1	NONE	0.2	46.3	4
CAT	821.58	1	False	22.78	27	3.9	789.56	1.41	5	1	0.79	0	NONE	56.5	68.4	strong	ok	warn	789.56	829.23	1	1	NONE	-0.92	44.2	2
AMBA	72.68	1	False	4.41	46	7.86	66.97	1.3	4	2	0.88	0	NONE	59.4	35.5	strong	warn	ok	68.31	71.96	1	1	NONE	1.0	32.6	1
OUST	43.72	1	False	2.65	26	null	null	null	null	2	1.43	0	BULLISH	70.6	76.3	ok	warn	ok	31.01	38.57	1	1	NONE	13.36	33.7	1
CRDO	210.97	1	False	13.58	47	11.9	185.87	1.85	11	1	1.23	0	NONE	47.9	78.9	warn	warn	ok	176.17	209.96	1	1	NONE	0.48	30.5	4
TSM	450.61	2	False	10.51	null	4.13	431.99	1.77	2	2	0.64	1	BEARISH	64.7	78.9	warn	strong	strong	383.17	420.18	1	2	NONE	7.24	74.7	3
AOS	58.65	1	False	1.34	null	null	null	null	null	1	0.67	0	BULLISH	45.4	31.6	strong	ok	warn	64.63	60.33	1	1	NONE	-2.79	33.7	2
DT	57.95	2	False	1.81	27	null	null	null	null	2	0.94	0	NONE	70.6	82.9	warn	strong	ok	42.24	49.93	3	2	NONE	16.05	74.7	1
COST	922.77	1	False	15.73	53	null	null	null	null	1	2.09	0	NONE	37.2	86.8	warn	strong	warn	960.41	934.45	1	1	NONE	-1.25	35.8	2
HCA	435.61	1	False	13.48	null	3.24	421.51	1.05	4	2	0.65	0	BULLISH	78.2	22.4	ok	strong	warn	447.26	410.99	2	1	NONE	5.99	71.6	2
VEEV	280.68	1	False	8.62	42	3.8	270.02	1.24	4	2	0.88	0	NONE	78.2	30.3	ok	strong	ok	199.9	241.67	1	2	NONE	16.14	73.7	1
SHO	11.19	1	False	0.2	29	1.79	10.99	1.0	11	1	0.75	0	NONE	69.7	57.9	strong	strong	ok	10.22	11.25	3	1	NONE	-0.53	50.5	4
AAL	13.87	1	False	0.47	null	4.04	13.31	1.18	11	1	1.08	0	BULLISH	51.7	56.6	strong	warn	ok	13.89	14.17	1	1	NONE	-2.09	42.1	4
GTES	26.86	1	False	0.84	24	null	null	null	null	2	0.84	0	NONE	59.4	48.7	strong	ok	strong	25.24	26.62	1	1	NONE	0.91	36.8	3
NTAP	201.15	1	False	7.89	46	5.19	190.71	1.32	4	2	0.53	0	NONE	81.5	61.8	ok	ok	strong	136.36	187.47	1	1	NONE	7.3	60.4	3
TER	398.38	1	False	20.4	null	null	null	null	null	2	0.62	0	NONE	69.7	53.9	ok	warn	ok	329.69	369.0	1	2	NONE	7.96	52.6	1
SAIL	20.64	2	False	1.27	51	null	null	null	null	2	0.65	0	NONE	72.3	76.3	ok	ok	ok	16.07	18.33	1	2	NONE	12.61	64.2	4
NTRA	412.56	2	True	13.14	28	null	null	null	null	2	1.14	0	NONE	58.0	75.0	warn	strong	ok	244.56	316.5	1	2	NONE	30.35	84.2	1
TMO	675.0	2	False	15.8	null	null	null	null	null	2	0.98	0	NONE	63.9	67.1	warn	strong	ok	540.22	604.26	3	1	NONE	11.71	73.7	1
TWLO	275.8	2	False	13.8	23	8.08	253.52	1.61	1	2	1.92	0	NONE	62.2	72.4	warn	warn	ok	172.11	227.4	1	2	NONE	21.29	68.4	1
VIA	29.41	2	False	1.38	34	null	null	null	null	2	1.0	0	NONE	75.6	63.2	ok	ok	strong	20.63	24.7	1	2	NONE	19.05	76.8	3
NXPI	238.08	1	False	7.77	null	null	null	null	null	1	0.73	0	BULLISH	59.4	78.9	strong	warn	warn	245.49	236.04	1	2	NONE	0.86	36.8	2
GME	23.39	2	False	0.88	51	3.76	22.51	1.0	8	2	1.4	0	NONE	71.4	76.3	warn	ok	ok	22.21	20.27	2	2	NONE	15.41	76.8	1
MCHP	78.69	1	False	2.81	28	5.53	74.34	1.55	2	2	1.14	0	BULLISH	68.1	78.9	strong	warn	ok	78.61	76.13	1	1	NONE	3.36	48.4	1
NVS	145.46	1	False	3.24	null	null	null	null	null	1	0.45	2	MIXED	38.4	51.3	warn	ok	warn	150.46	151.5	1	1	NONE	-3.99	31.4	2
RKLB	73.95	1	False	3.96	30	6.03	69.49	1.13	6	2	0.95	0	BULLISH	61.3	84.2	ok	warn	ok	81.09	69.49	1	1	NONE	6.42	48.4	1
CDNS	326.13	1	False	10.83	null	4.51	311.43	1.36	10	1	1.0	0	BULLISH	54.6	78.9	warn	ok	warn	325.53	318.38	1	1	NONE	2.44	36.8	2
SNPS	425.76	1	False	15.17	52	null	null	null	null	1	1.08	0	BULLISH	54.6	71.1	warn	ok	ok	445.29	400.7	1	2	NONE	6.25	32.6	4
DDOG	268.13	1	False	12.57	28	null	null	null	null	2	1.46	0	NONE	55.5	46.1	warn	ok	ok	181.72	242.7	1	1	NONE	10.48	42.1	1
NBIS	237.33	1	False	16.62	31	7.22	220.19	1.03	3	2	0.71	0	NONE	70.6	56.6	ok	warn	ok	164.1	215.57	1	2	NONE	10.09	62.1	4
JCI	150.2	1	False	3.6	27	null	null	null	null	2	0.86	0	BULLISH	62.2	73.7	ok	ok	ok	136.76	145.03	1	1	NONE	3.56	55.8	1
ARM	310.32	2	False	18.97	27	6.65	289.68	1.09	3	2	1.34	1	BEARISH	65.5	88.2	warn	warn	ok	211.83	264.32	1	3	NONE	17.4	50.5	1
MRNA	198.88	2	False	12.84	28	null	null	null	null	2	0.83	0	NONE	75.6	78.9	ok	strong	ok	64.26	110.11	2	2	NONE	80.62	74.7	1
UCTT	77.69	1	False	4.63	null	null	null	null	null	2	0.85	0	NONE	54.2	59.2	strong	warn	strong	70.48	79.1	1	2	NONE	-1.78	26.3	3
MAR	352.03	1	False	7.17	26	3.19	340.81	1.56	10	1	0.83	0	BULLISH	57.1	73.7	ok	warn	ok	347.8	352.81	1	1	NONE	-0.22	41.1	4
DJT	9.14	1	False	0.4	29	null	null	null	null	1	0.64	0	NONE	61.3	67.1	strong	warn	ok	10.02	9.2	2	2	NONE	-0.63	43.2	4
APH	84.09	1	False	2.81	22	null	null	null	null	1	0.67	0	BULLISH	83.2	22.4	strong	strong	ok	73.7	80.38	1	1	NONE	4.62	49.5	4
PEB	18.42	1	False	0.51	23	null	null	null	null	1	1.9	0	NONE	59.4	81.6	strong	warn	ok	15.06	18.45	1	1	NONE	-0.16	40.0	4
LIN	469.89	1	False	7.52	24	3.34	454.19	2.09	9	1	0.81	0	BULLISH	30.7	51.3	warn	ok	warn	484.48	484.08	1	1	NONE	-2.93	36.8	2
