# DICT bracket.targets fields (in order): type,price,atr_dist,tp,r,date,vol_ratio,vol_validated; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	atr_caution	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	day_vol	lens	lens.coil	lens.insti_money	lens.leadership	lens.resistance	lens.sector	lens.structure	lens_positive	lens_ranking	lens_warnings	mp_accel_state	mp_state	rank	sma_distance_pct	structure	structure_shift
ARM	310.32	2	False	18.97	27	False	null	6.65	6.9	5.7	289.68	3	R@427.99@6.2@TP1@5.7@260602@1.15@F|R@452.7@7.51@TP2@6.9@260618@2.42@T|A@494.68@9.72@TP3@8.93@n@n@n|B@548.07@12.54@n@11.52@n@n@n|D@607.02@15.64@n@14.37@n@n@n|C@702.39@20.67@n@19.0@n@n@n	True	1.34	o,w,o,o,w,-,s	warn	ok	ok	warn	strong	ok	1	null	2	1	3	10	17.4	50.5	1
STX	916.83	2	False	49.4	null	False	1	null	null	null	null	null	R@921.78@0.1@n@n@260731@1.12@F|R@966.8@1.01@n@n@260603@0.79@F|R@1013.99@1.97@n@n@260817@0.79@F|R@1145.0@4.62@n@n@260618@2.24@T|A@1238.33@6.51@n@n@n@n@n|B@1357.04@8.91@n@n@n@n@n|D@1488.11@11.57@n@n@n@n@n|C@1700.15@15.86@n@n@n@n@n	False	0.72	s,o,o,o,w,-,s	ok	ok	strong	warn	strong	ok	2	null	1	1	2	36	7.89	47.4	4
LRCX	315.21	1	False	14.76	null	False	1	null	null	null	null	null	R@321.41@0.42@n@n@260827@0.78@F|R@345.28@2.04@n@n@260817@0.8@F|R@438.5@8.35@n@n@260630@1.24@T|A@459.47@9.77@n@n@n@n@n|B@486.14@11.58@n@n@n@n@n|D@515.59@13.57@n@n@n@n@n|C@563.23@16.8@n@n@n@n@n	False	0.75	s,o,s,w,w,-,s	ok	strong	strong	warn	strong	warn	3	null	2	1	2	58	3.49	42.1	2
GEV	957.63	1	False	37.01	null	False	1	null	null	null	null	null	R@971.34@0.37@n@n@260917@1.49@T|R@1046.93@2.41@n@n@260804@0.76@F|R@1095.0@3.71@n@n@260526@0.79@F|R@1125.43@4.53@n@n@260506@0.87@F|P@1195.94@6.44@n@n@n@n@n|A@1288.4@8.94@n@n@n@n@n|B@1406.02@12.11@n@n@n@n@n|D@1535.87@15.62@n@n@n@n@n|C@1745.95@21.3@n@n@n@n@n	False	0.58	w,s,s,o,w,-,o	strong	strong	warn	warn	ok	ok	2	null	2	1	1	87	-1.57	44.2	4
SRAD	13.24	1	False	0.6	27	False	1	null	null	null	null	null	R@13.46@0.37@n@n@260910@2.11@T|R@14.06@1.36@n@n@260817@0.87@F|R@14.44@1.99@n@n@260507@0.48@F|R@15.14@3.16@n@n@260728@0.59@F|P@18.62@8.94@n@n@n@n@n|A@19.69@10.71@n@n@n@n@n|B@21.04@12.96@n@n@n@n@n|D@22.54@15.45@n@n@n@n@n|C@24.96@19.47@n@n@n@n@n	False	0.57	w,s,o,w,w,-,s	strong	ok	warn	warn	strong	warn	2	null	3	1	2	64	-0.48	46.3	2
TEL	218.59	1	False	6.08	27	False	1	null	null	null	null	null	R@220.57@0.33@n@n@260617@0.81@F|R@223.76@0.85@n@n@260604@0.82@F|R@252.56@5.59@n@n@260421@2.03@T|A@264.94@7.62@n@n@n@n@n|B@280.69@10.21@n@n@n@n@n|D@298.07@13.07@n@n@n@n@n|C@326.2@17.7@n@n@n@n@n	False	0.68	w,o,o,o,s,-,s	ok	ok	warn	strong	strong	ok	2	null	1	1	1	61	5.08	70.5	1
IRDM	48.75	1	False	1.08	null	False	null	2.75	3.79	1.66	47.41	7	R@50.97@2.06@TP1@1.66@260817@0.99@F|R@53.83@4.7@TP2@3.79@260603@1.15@F|R@57.18@7.81@TP3@6.29@260702@0.9@F|A@61.69@11.98@n@9.66@n@n@n|B@67.43@17.3@n@13.94@n@n@n|D@73.76@23.16@n@18.66@n@n@n|C@84.01@32.65@n@26.31@n@n@n	True	1.03	s,s,w,s,s,-,s	strong	warn	strong	strong	strong	strong	5	null	1	1	1	93	2.12	49.5	3
ALAB	364.62	4	True	23.1	null	False	null	11.94	3.1	0.07	321.08	3	R@367.85@0.14@TP1@0.07@260804@2.2@T|R@499.48@5.84@TP2@3.1@260630@0.93@F|A@534.02@7.33@TP3@3.89@n@n@n|B@577.95@9.24@n@4.9@n@n@n|D@626.46@11.34@n@6.01@n@n@n|C@704.93@14.73@n@7.82@n@n@n	True	0.76	s,w,s,o,s,-,s	warn	strong	strong	strong	strong	ok	4	null	1	1	2	51	19.54	50.5	1
AMBA	72.68	1	False	4.41	46	False	null	7.86	3.73	3.27	66.97	4	R@91.34@4.23@TP1@3.27@260731@4.53@T|R@94.0@4.84@TP2@3.73@260701@2.24@T|R@96.36@5.37@TP3@4.15@260526@2.09@T|A@102.35@6.73@n@5.2@n@n@n|B@109.97@8.46@n@6.53@n@n@n|D@118.39@10.37@n@8.01@n@n@n|C@132.0@13.46@n@10.39@n@n@n	True	0.88	w,s,w,o,w,-,s	strong	warn	warn	warn	strong	ok	2	null	3	1	1	113	1.0	32.6	1
EMR	158.23	1	False	3.67	27	False	null	2.62	4.11	1.96	154.08	11	R@166.35@2.21@TP1@1.96@260812@0.76@F|A@175.27@4.64@TP2@4.11@n@n@n|B@186.62@7.73@TP3@6.84@n@n@n|D@199.15@11.14@n@9.86@n@n@n|C@219.42@16.65@n@14.74@n@n@n	True	0.88	s,o,s,o,s,-,o	ok	strong	strong	strong	ok	ok	3	null	0	1	1	53	3.55	46.3	4
