# DICT rs_leadership: 1=IN-LINE; 2=LAGGARD; 3=LEADER
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.price	bracket.risk_pct	bracket.stop	bracket.valid	day_vol	gics_sector	lens.coil	lens.sector	lens.structure	ma_200	ma_50	rank	rs_leadership	rvol_20d	sc_momentum	sector_trend_state	sma_distance_pct	structure	structure_shift
TXN	278.07	1	False	8.33	null	278.07	4.79	264.74	True	0.64	XLK	ok	strong	strong	246.23	271.01	49	1	0.65	62.4	2	2.61	49.5	3
TER	398.38	1	False	20.4	null	398.38	null	null	False	0.62	XLK	ok	strong	ok	329.69	369.0	59	1	0.63	58.4	2	7.96	52.6	1
CAT	821.58	1	False	22.78	27	821.58	3.9	789.56	True	0.79	XLI	strong	ok	warn	789.56	829.23	74	1	0.79	53.3	3	-0.92	44.2	2
LRCX	315.21	1	False	14.76	null	315.21	null	null	False	0.75	XLK	ok	strong	warn	270.93	304.58	58	1	0.75	58.6	2	3.49	42.1	2
TH	20.58	2	False	0.96	28	20.58	null	null	False	0.89	XLI	warn	ok	strong	13.7	17.77	32	3	0.9	66.5	3	15.82	64.2	3
BIRK	33.6	1	False	1.31	null	33.6	3.99	32.26	True	1.67	XLY	warn	ok	warn	39.42	36.21	114	2	1.63	40.9	3	-7.21	31.4	2
ARM	310.32	2	False	18.97	27	310.32	6.65	289.68	True	1.34	XLK	warn	strong	ok	211.83	264.32	10	2	1.32	72.8	2	17.4	50.5	1
LLY	1183.46	1	False	32.5	23	1183.46	2.76	1150.81	True	0.81	XLV	strong	ok	ok	1070.09	1177.41	83	3	0.82	50.6	1	0.51	36.8	4
AAL	13.87	1	False	0.47	null	13.87	4.04	13.31	True	1.08	XLI	strong	ok	ok	13.89	14.17	76	2	1.07	52.3	3	-2.09	42.1	4
AMD	630.63	2	False	24.71	26	630.63	null	null	False	0.8	XLK	warn	strong	ok	364.75	504.71	5	3	0.8	75.7	2	24.95	84.2	1
APLE	16.19	1	False	0.32	28	16.19	2.16	15.84	True	0.77	XLRE	ok	ok	ok	14.03	16.15	106	1	0.76	44.2	3	0.26	40.0	1
SAIL	20.64	2	False	1.27	51	20.64	null	null	False	0.65	XLK	ok	strong	ok	16.07	18.33	38	3	0.68	65.4	2	12.61	64.2	4
FLEX	114.68	1	False	5.59	27	114.68	null	null	False	0.9	XLK	strong	strong	warn	98.52	115.2	110	2	0.9	43.6	2	-0.45	51.6	2
JCI	150.2	1	False	3.6	27	150.2	null	null	False	0.86	XLI	ok	ok	ok	136.76	145.03	48	1	0.85	62.7	3	3.56	55.8	1
M	22.64	1	False	0.83	47	22.64	4.33	21.66	True	0.69	XLY	strong	ok	warn	21.6	23.28	108	2	0.7	43.8	3	-2.75	28.4	2
NBIS	237.33	1	False	16.62	31	237.33	7.22	220.19	True	0.71	XLC	ok	strong	ok	164.1	215.57	54	3	0.72	60.2	1	10.09	62.1	4
STX	916.83	2	False	49.4	null	916.83	null	null	False	0.72	XLK	ok	strong	ok	635.26	849.75	36	3	0.74	65.4	2	7.89	47.4	4
SW	46.41	1	False	1.45	27	46.41	null	null	False	0.7	XLY	ok	ok	ok	43.09	46.68	118	2	0.73	36.4	3	-0.58	45.3	4
ESTC	88.12	3	False	4.18	null	88.12	6.77	82.15	True	0.6	XLK	strong	strong	ok	64.71	79.57	28	3	null	67.3	2	10.75	60.0	4
HCA	435.61	1	False	13.48	null	435.61	3.24	421.51	True	0.65	XLV	ok	ok	warn	447.26	410.99	68	3	0.65	55.5	1	5.99	71.6	2
P	126.0	1	False	7.01	46	126.0	null	null	False	0.85	XLI	ok	ok	ok	77.09	96.03	55	1	0.86	59.5	3	31.22	67.4	1
HON	212.55	1	False	4.62	null	212.55	null	null	False	0.56	XLI	strong	ok	warn	230.21	223.53	102	1	0.57	44.8	3	-4.91	28.4	2
NTSK	17.67	2	False	0.95	54	17.67	null	null	False	0.75	XLK	warn	strong	ok	12.89	14.75	37	3	0.76	65.4	2	19.81	60.4	1
TWLO	275.8	2	False	13.8	23	275.8	8.08	253.52	True	1.92	XLK	warn	strong	ok	172.11	227.4	19	3	1.83	68.9	2	21.29	68.4	1
LUV	42.68	1	False	1.29	null	42.68	4.33	40.83	True	1.2	XLI	ok	ok	ok	43.47	42.77	46	1	1.16	62.9	3	-0.2	44.2	4
WT	24.33	2	False	0.95	24	24.33	null	null	False	0.48	XLF	ok	ok	ok	17.84	22.47	31	1	0.48	66.6	3	8.26	60.4	4
