# DICT bracket.invalid_reason: 1=no valid bracket — no structural resistance above price; 2=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma50; 6=swing_low; 7=swing_low_1; 8=swing_low_2; 9=swing_low_3
# DICT gics_sector_name: 1=Communication Services; 2=Consumer Discretionary; 3=Consumer Staples; 4=Energy; 5=Financials; 6=Healthcare; 7=Industrials; 8=Materials; 9=Real Estate; 10=Technology; 11=Utilities
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT next_earnings_date: 1=2026-09-08; 2=2026-09-10; 3=2026-09-11; 4=2026-09-29; 5=2026-09-30; 6=2026-10-05; 7=2026-10-13; 8=2026-10-14; 9=2026-10-15; 10=2026-10-16; 11=2026-10-19; 12=2026-10-20; 13=2026-10-21; 14=2026-11-05; 15=2026-11-06; 16=2026-11-09; 17=2026-11-10; 18=2026-11-12; 19=2026-11-13; 20=2026-11-17; 21=2026-11-18; 22=2026-11-19; 23=2026-11-24; 24=2026-12-01; 25=2026-12-02; 26=2026-12-03
# DICT sector_trend_state: 1=Declining — Avoid; 2=Momentum Building — Add; 3=Momentum Fading — Hold, Don't Add; 4=Recovering From Weakness — Watch for Entry
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	structure	structure_shift	sma_distance_pct	atr_14d	day_vol	mp_state	mp_accel_state	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	bracket.atr_fallback_stop	bracket.invalid_reason	high_52w	pct_from_52w_high	pivot_high	pct_from_pivot	rs_rank_pct	next_earnings_date
GNW	74	False	XLF	5	3	63.2	3	5.18	0.21	1.37	1	1	10.35	10.14	1	True	2.03	10.14	null	10.38	-0.29	10.28	0.68	69.68	16
MDT	49	False	XLV	6	3	74.7	4	8.57	2.28	1.15	1	1	94.17	null	null	False	null	91.89	2	105.35	-10.61	94.72	-0.58	38.25	20
NOW	15	False	XLK	10	2	76.8	1	20.71	6.81	0.69	2	2	141.26	null	null	False	null	134.45	2	192.23	-26.52	113.79	24.14	54.98	null
NWS	84	False	XLC	1	3	67.4	4	5.11	0.82	1.43	2	2	33.9	null	null	False	null	33.08	2	35.32	-4.02	35.76	-5.2	68.88	null
SFNC	98	False	XLF	5	3	51.6	4	2.34	0.46	2.22	1	1	23.69	null	null	False	null	23.23	2	24.12	-1.78	24.18	-2.03	67.71	9
ETR	107	False	XLU	11	4	36.8	2	-2.76	2.01	1.36	1	1	107.27	104.93	9	True	2.18	105.26	null	117.91	-9.02	110.29	-2.74	36.41	null
ZION	128	False	XLF	5	3	32.6	4	-0.63	1.38	0.67	1	1	69.37	null	null	False	null	67.99	2	73.31	-5.37	72.59	-4.44	71.96	11
MSTR	8	False	XLK	10	2	84.2	1	37.97	8.66	0.97	3	2	142.8	127.64	3	True	10.62	134.14	null	359.69	-60.3	105.5	35.36	44.53	null
SNDK	67	False	XLK	10	2	35.8	4	12.24	129.9	1.26	1	1	1740.0	1550.25	5	True	10.91	1610.1	null	2335.0	-25.48	1827.99	-4.81	99.75	14
PBR-A	27	False	XLE	4	3	75.8	1	12.08	0.53	0.64	3	1	18.25	null	null	False	null	17.72	2	19.9	-8.29	17.3	5.49	54.37	17
DB	65	False	XLF	5	3	73.7	1	11.39	0.69	0.61	1	2	41.33	null	null	False	null	40.64	2	41.56	-0.55	38.65	6.93	79.09	null
