# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	choch_state	day_vol	elder_5d	elder_context.vcp.base_range_pct	elder_context.vcp.vcp_tightness_pct	inside_bar	ma_20	ma_200	ma_50	mp_accel_state	mp_state	pin_bar_state	sc_momentum	sector_trend_state	sma_distance_pct	squeeze_breakout_state	squeeze_breakout_volume_confirmed	structure_shift	was_squeezed
NTSK	18.57	2	False	0.97	56	2	0.77	[10, 10, 10, 10, 7]	36.3	33.0	False	15.81	12.92	14.56	1	3	NONE	73.1	2	27.56	NONE	False	1	False
TWLO	290.7	2	False	12.32	25	2	2.1	[10, 10, 10, 10, 10]	29.8	75.9	False	241.4	170.52	224.25	1	3	NONE	79.7	2	29.63	NONE	False	1	False
ESTC	91.28	1	False	4.24	40	2	0.51	[5, 6, 7, 7, 8]	31.3	28.0	False	88.68	64.56	78.47	1	1	NONE	58.5	2	16.33	NONE	False	4	False
STM	52.46	1	False	1.89	25	2	1.12	[2, 7, 8, 10, 10]	11.9	82.9	False	50.5	46.95	53.12	1	1	NONE	59.2	2	-1.25	NONE	False	4	True
TSLA	380.12	1	False	12.59	24	2	0.85	[8, 6, 10, 10, 10]	12.1	57.3	False	363.21	396.34	348.96	3	2	NONE	59.0	3	8.93	NONE	False	4	True
MRNA	182.11	2	False	12.87	30	2	0.96	[8, 8, 8, 10, 10]	38.4	65.3	False	150.63	62.57	104.86	2	2	NONE	69.0	3	73.66	NONE	False	1	False
MMM	170.3	1	False	3.45	null	2	0.96	[3, 3, 3, 8, 9]	12.0	37.9	False	168.26	160.64	173.14	1	1	NONE	50.0	3	-1.64	NONE	False	4	False
TEAM	195.08	2	False	9.05	25	2	0.64	[8, 8, 8, 5, 8]	21.6	34.6	True	187.33	111.54	150.38	2	1	NONE	79.0	2	29.73	NONE	False	4	False
MU	1071.88	1	False	49.84	null	2	0.85	[5, 9, 10, 10, 10]	20.2	73.1	False	979.69	652.7	933.51	1	1	NONE	62.4	2	14.82	NONE	False	1	False
DT	58.51	2	False	1.85	29	2	1.1	[10, 7, 10, 10, 10]	19.0	41.9	False	53.59	42.1	49.4	1	3	NONE	76.4	2	18.44	NONE	False	1	False
WDC	473.69	1	False	28.94	25	1	0.78	[3, 3, 7, 9, 10]	19.6	67.9	False	451.23	390.42	475.41	1	1	NONE	50.9	2	-0.36	NONE	False	2	True
ISRG	398.3	2	False	11.3	null	2	0.7	[10, 10, 10, 10, 7]	15.8	42.3	False	375.7	452.59	373.66	1	1	NONE	71.1	3	6.59	NONE	False	1	False
CLS	362.86	1	False	18.97	22	2	1.06	[9, 10, 10, 10, 10]	29.3	38.1	False	321.67	329.37	323.69	1	1	NONE	62.6	2	12.1	NONE	False	1	False
APH	82.19	1	False	2.83	24	1	0.81	[0, 0, 5, 9, 10]	9.6	81.9	False	80.42	73.57	80.14	1	1	NONE	56.8	2	2.56	NONE	False	4	True
OKTA	205.36	2	False	9.65	48	2	1.15	[7, 7, 7, 10, 10]	47.6	28.9	False	176.29	108.02	156.13	1	3	NONE	74.1	2	31.53	NONE	False	1	False
CRDO	193.87	1	False	13.46	49	1	0.87	[3, 5, 9, 10, 10]	48.4	37.5	False	183.55	175.91	210.51	1	1	NONE	43.8	2	-7.91	NONE	False	2	False
PEB	18.22	1	False	0.51	25	1	0.75	[5, 7, 8, 9, 9]	7.1	73.0	False	18.05	14.98	18.46	1	1	NONE	52.4	3	-1.3	NONE	False	4	True
JCI	145.9	1	False	3.51	29	2	0.91	[3, 7, 9, 9, 9]	8.1	58.0	False	142.43	136.43	144.8	1	1	NONE	60.0	3	0.76	NONE	False	4	False
CAT	812.02	1	False	23.58	29	1	1.2	[5, 7, 9, 9, 9]	7.7	52.7	False	803.91	787.43	832.53	1	1	NONE	54.2	3	-2.46	NONE	False	2	True
P	109.73	1	False	5.92	48	2	0.51	[7, 8, 10, 10, 10]	23.7	55.8	False	99.98	76.56	93.85	1	1	NONE	58.5	3	16.92	NONE	False	1	False
DDOG	251.49	1	False	11.75	30	1	0.74	[10, 7, 10, 10, 10]	23.3	53.2	False	229.24	180.62	242.74	1	1	NONE	48.0	2	3.61	NONE	False	4	False
TENB	36.23	1	False	2.28	29	1	0.39	[10, 7, 10, 6, 10]	25.9	32.5	True	35.22	26.58	35.3	1	1	NONE	43.0	2	2.65	NONE	False	4	False
UCTT	77.29	1	False	4.96	23	2	0.88	[5, 7, 8, 10, 10]	21.3	67.6	False	70.74	69.98	79.91	1	1	NONE	53.1	2	-3.28	NONE	False	3	True
AMAT	474.38	1	False	21.06	35	2	0.7	[0, 5, 7, 10, 10]	16.4	84.2	False	451.95	419.3	493.87	1	1	NONE	54.8	2	-3.95	NONE	False	3	False
DBRG	15.99	1	False	0.04	25	2	1.34	[5, 0, 5, 6, 8]	1.0	80.6	False	15.93	15.5	15.9	1	1	NONE	63.2	3	0.57	NONE	False	3	False
SAIL	21.41	2	False	1.25	53	2	1.35	[10, 7, 10, 10, 10]	27.2	44.3	True	19.42	16.06	18.09	1	1	NONE	78.9	2	18.33	NONE	False	3	False
OUST	39.38	1	False	2.55	28	2	1.06	[3, 5, 9, 10, 10]	22.8	80.6	True	35.7	30.83	38.33	1	1	NONE	46.7	2	2.75	NONE	False	1	True
EMR	154.55	1	False	3.66	29	1	1.2	[3, 5, 5, 9, 9]	9.6	63.0	False	151.26	143.89	152.02	1	1	NONE	61.8	3	1.66	NONE	False	4	False
TEM	76.59	2	False	4.58	28	2	0.78	[10, 10, 10, 7, 7]	34.6	34.6	True	67.71	56.19	58.24	2	1	NONE	75.6	3	31.5	NONE	False	1	False
CRWV	86.9	4	False	5.61	null	2	1.17	[0, 3, 5, 5, 7]	null	null	False	86.05	92.17	85.21	1	1	NONE	47.8	2	1.98	NONE	False	2	False
A	165.32	2	False	4.53	42	2	1.26	[8, 10, 10, 10, 10]	17.9	51.7	False	153.1	131.79	147.25	1	1	NONE	73.1	3	12.27	NONE	False	3	False
INTC	122.6	2	False	6.28	null	2	0.82	[10, 10, 10, 10, 10]	37.2	47.0	False	101.04	78.36	98.04	1	3	NONE	68.2	2	25.05	NONE	False	1	False
CNK	35.79	1	False	1.07	29	2	0.84	[3, 3, 6, 9, 9]	11.7	74.1	False	35.36	29.32	35.43	1	1	NONE	55.6	3	1.03	NONE	False	4	True
ANET	203.47	2	True	7.78	28	2	0.79	[7, 10, 10, 10, 7]	13.9	55.0	False	196.13	156.27	188.8	1	2	NONE	72.6	2	7.77	NONE	False	3	True
ILMN	255.38	1	False	10.46	25	2	0.62	[10, 10, 10, 10, 10]	24.6	38.5	False	222.58	157.85	207.47	2	3	NONE	61.3	3	23.09	NONE	False	1	False
NET	352.46	2	False	17.59	25	2	0.9	[10, 7, 10, 10, 7]	30.0	50.0	False	311.64	230.08	296.48	1	3	NONE	68.1	2	18.88	NONE	False	1	False
AMD	614.61	2	False	25.12	28	2	0.77	[10, 10, 10, 10, 10]	34.6	48.7	False	512.99	360.65	500.12	1	3	NONE	76.8	2	22.89	NONE	False	1	False
HOOD	122.7	1	False	6.5	29	2	0.82	[0, 6, 10, 10, 10]	22.9	77.4	False	113.61	94.77	103.87	3	2	NONE	59.1	3	18.12	NONE	False	4	False
MCHP	75.53	1	False	2.72	30	2	0.94	[3, 7, 8, 10, 10]	10.7	81.9	False	73.12	78.51	76.42	1	1	NONE	60.4	2	-1.17	NONE	False	3	True
