# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT sector_trend_state: 1=Declining — Avoid; 2=Momentum Building — Add; 3=Momentum Fading — Hold, Don't Add; 4=Recovering From Weakness — Watch for Entry
ticker	ma_20	ma_50	ma_100	ma_200	sma_distance_pct	mp_state	sector_trend_state	entry	bracket.stop	atr_caution	bracket.valid	bracket.atr_fallback_stop	bracket.invalid_reason	ma_40	cci_20	extension_atr_20
OKTA	152.2	146.81	121.8	102.28	14.16	1	3	167.6	null	False	False	158.91	1	148.0	81.98	1.77
QCOM	164.62	169.01	183.86	167.87	3.01	1	3	174.09	164.77	False	True	167.46	null	164.96	271.19	1.43
SHEL	92.03	87.97	86.74	83.21	8.35	2	3	95.32	null	False	False	93.81	1	89.99	168.89	2.18
NBIS	226.54	213.15	210.68	155.56	14.42	1	4	243.88	221.61	False	True	224.7	null	210.11	64.46	0.9
SNDK	1554.8	1543.2	1532.38	1011.43	12.62	1	3	1737.99	1554.8	False	True	1612.11	null	1463.03	157.74	1.46
ES	71.33	72.73	70.89	70.16	-1.71	1	2	71.49	null	False	False	70.24	1	72.47	23.62	0.13
EC	17.22	16.43	15.47	13.73	8.23	2	3	17.78	null	False	False	17.22	1	16.81	94.38	1.0
META	577.81	596.76	604.83	622.37	2.8	1	4	613.48	null	False	False	593.75	1	593.49	141.68	1.81
SFNC	23.17	23.15	22.32	21.0	0.24	1	4	23.21	null	False	False	22.75	1	23.25	17.46	0.09
TH	17.87	17.29	17.19	12.89	17.12	1	4	20.25	null	False	False	19.21	1	16.96	199.59	2.31
FIGR	35.5	31.91	32.72	36.88	19.91	3	4	38.27	35.5	False	True	35.69	null	32.02	57.77	1.07
MSTR	117.48	104.59	127.57	138.73	30.53	3	3	136.52	127.57	False	True	127.95	null	107.07	90.5	2.22
MU	950.27	935.64	868.89	610.34	6.91	1	3	1000.26	null	False	False	946.23	1	917.37	178.32	0.93
GEV	971.0	1013.92	1022.39	888.2	-4.2	1	2	971.31	928.76	False	True	929.85	null	991.54	-10.52	0.01
KDP	31.61	31.27	30.44	29.16	4.08	3	1	32.55	null	False	False	31.77	1	31.07	82.34	1.21
WTRG	40.82	39.88	38.82	39.02	5.16	2	2	41.94	null	False	False	41.12	1	40.19	150.92	1.37
OHI	46.5	48.26	47.36	46.38	-2.55	1	4	47.03	null	False	False	46.13	1	48.16	41.7	0.59
VG	14.21	13.42	12.94	11.41	9.76	2	3	14.73	null	False	False	14.07	1	13.84	115.15	0.79
UMC	19.43	20.84	19.54	14.34	4.68	1	3	21.82	null	False	False	20.79	1	19.77	238.01	2.32
GNW	10.03	9.86	9.39	9.0	5.69	1	4	10.42	null	False	False	10.2	1	9.96	156.31	1.77
CAT	822.95	869.19	882.28	774.59	-5.37	1	4	822.48	null	False	False	795.59	1	843.15	-1.81	-0.02
BP	43.42	42.06	42.84	40.82	6.7	2	3	44.88	null	False	False	43.85	1	43.04	135.59	1.42
GTX	27.5	30.0	29.65	23.9	-6.71	1	4	27.99	25.67	False	True	27.05	null	29.24	36.05	0.52
ADM	81.5	81.12	79.13	72.24	4.16	2	1	84.5	null	False	False	81.85	1	81.79	147.84	1.13
TIGO	93.66	94.66	89.66	76.54	1.38	2	4	95.97	null	False	False	92.82	1	94.92	73.17	0.73
MS	215.1	215.67	208.85	191.21	0.3	1	4	216.31	null	False	False	211.47	1	215.23	50.13	0.25
NOK	10.23	10.48	12.02	9.63	1.59	1	3	10.65	null	False	False	10.17	1	9.99	92.6	0.87
PBF	72.43	64.58	52.89	44.47	18.88	2	3	76.77	null	False	False	72.81	1	68.16	132.78	1.1
CVX	204.0	191.93	188.7	181.4	9.41	2	3	209.99	null	False	False	206.0	1	196.92	106.02	1.51
JEF	53.65	54.14	53.63	53.53	2.93	1	4	55.72	53.65	False	True	54.08	null	54.71	102.31	1.26
STX	858.51	853.61	832.01	596.67	5.95	1	3	904.38	null	False	False	847.24	1	844.87	63.83	0.8
CLS	311.51	327.26	356.16	328.21	0.83	1	3	329.97	null	False	False	309.97	1	321.03	73.36	0.92
BULL	8.79	7.93	7.32	7.18	20.74	3	3	9.57	null	False	False	9.04	1	8.12	99.99	1.47
GPGI	13.31	14.23	14.01	17.29	-2.34	1	4	13.9	13.05	False	True	13.17	null	13.89	83.0	0.81
PRM	31.88	33.24	32.75	29.46	-3.57	1	4	32.05	null	False	False	30.61	1	33.04	2.02	0.12
CXW	33.4	31.98	27.43	23.16	9.6	1	4	35.05	null	False	False	33.67	1	32.28	174.15	1.2
WRB	69.18	71.05	69.02	69.22	-1.8	1	4	69.77	null	False	False	68.44	1	70.92	23.66	0.44
AM	22.37	22.31	21.95	20.98	2.64	2	3	22.9	null	False	False	22.4	1	22.26	168.01	1.06
STM	51.57	57.59	60.8	45.45	-9.76	1	3	51.97	49.88	False	True	49.93	null	54.31	17.74	0.2
HRB	51.61	45.83	40.61	38.72	0.12	2	4	45.89	43.12	False	True	43.94	null	47.47	-208.9	-2.93
VLO	350.86	317.48	282.04	240.65	20.59	2	3	382.85	null	False	False	371.97	1	328.32	201.96	2.94
NWL	6.07	5.73	4.99	4.5	10.61	1	1	6.34	null	False	False	6.01	1	5.78	165.54	0.82
C	134.85	135.19	133.23	123.37	1.15	1	4	136.74	null	False	False	133.83	1	133.84	52.23	0.65
