# DICT bracket.targets fields (in order): type,price,date,atr_dist,vol_ratio,vol_validated,tp,r; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT elder_pattern: 1=ACCELERATION; 2=ACCUMULATION_BASE; 3=CORRECTION_REENTRY; 4=INTERRUPTED; 5=SUSTAINED
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	choch_state	elder_5d	elder_pattern	ma_20	ma_50	malformed_bracket	mp_state	pin_bar_level	pin_bar_state	structure_shift
TWLO	284.53	2	False	12.33	26	1	null	null	null	null	null	P@286.12@n@0.13@n@n@n@n|A@303.6@n@1.55@n@n@n@n|B@325.83@n@3.35@n@n@n@n|D@350.38@n@5.34@n@n@n@n|C@390.09@n@8.56@n@n@n@n	False	2	[8, 10, 10, 10, 10]	5	238.06	222.79	null	3	null	NONE	1
LSCC	122.53	2	False	5.86	28	1	null	null	null	null	null	R@126.35@260424@0.65@2.08@T@n@n|R@137.0@260817@2.47@0.7@F@n@n|R@139.98@260722@2.98@0.7@F@n@n|R@155.0@260630@5.54@1.14@F@n@n|A@164.44@n@7.15@n@n@n@n|B@173.9@n@8.77@n@n@n@n|D@184.34@n@10.55@n@n@n@n|C@201.23@n@13.43@n@n@n@n	False	2	[0, 3, 3, 7, 10]	4	114.31	121.82	null	1	null	NONE	3
MXL	87.43	1	False	6.08	null	1	null	null	null	null	null	R@89.0@260817@0.26@0.76@F@n@n|R@94.55@260723@1.17@1.73@T@n@n|R@98.49@260714@1.82@0.56@F@n@n|R@104.27@260511@2.77@0.67@F@n@n|P@128.3@n@6.72@n@n@n@n|A@144.76@n@9.43@n@n@n@n|B@165.71@n@12.88@n@n@n@n|D@188.83@n@16.68@n@n@n@n|C@226.24@n@22.83@n@n@n@n	False	1	[8, 10, 10, 10, 10]	5	68.36	71.29	null	1	null	NONE	4
CAT	808.01	1	False	23.99	30	null	4.35	2.27	0.64	772.86	9	R@830.5@260908@0.94@0.99@F@TP1@0.64|R@887.91@260817@3.33@0.7@F@TP2@2.27|R@909.6@260723@4.24@0.75@F@TP3@2.89|R@931.35@260507@5.14@1.22@T@n@3.51|P@1073.46@n@11.07@n@n@n@7.55|A@1132.95@n@13.55@n@n@n@9.24|B@1208.64@n@16.7@n@n@n@11.4|D@1292.19@n@20.19@n@n@n@13.77|C@1427.37@n@25.82@n@n@n@17.62	True	1	[2, 5, 7, 9, 9]	1	803.87	834.95	null	1	null	NONE	2
TH	21.19	1	False	0.96	31	1	null	null	null	null	null	P@21.72@n@0.55@n@n@n@n|A@22.61@n@1.48@n@n@n@n|B@23.75@n@2.66@n@n@n@n|D@25.01@n@3.98@n@n@n@n|C@27.04@n@6.09@n@n@n@n	False	2	[2, 10, 10, 10, 10]	1	19.15	17.53	null	3	null	NONE	1
TSLA	378.9	1	False	12.86	25	null	3.93	2.04	0.35	364.02	8	R@384.04@260903@0.4@1.73@T@TP1@0.35|R@409.28@260417@2.36@1.3@T@TP2@2.04|R@432.86@260701@4.2@0.84@F@TP3@3.63|R@445.6@260527@5.19@0.83@F@n@4.48|P@453.4@n@5.79@n@n@n@5.01|A@477.71@n@7.68@n@n@n@6.64|B@508.64@n@10.09@n@n@n@8.72|D@542.78@n@12.75@n@n@n@11.01|C@598.02@n@17.04@n@n@n@14.73	True	2	[0, 8, 6, 10, 10]	1	361.72	349.28	null	2	null	NONE	4
DAL	83.92	1	False	2.31	null	null	3.87	3.41	1.07	80.67	10	R@87.39@260615@1.5@1.32@T@TP1@1.07|R@95.01@260805@4.8@0.77@F@TP2@3.41|A@100.92@n@7.36@n@n@TP3@5.23|B@107.6@n@10.25@n@n@n@7.29|D@114.96@n@13.44@n@n@n@9.55|C@126.88@n@18.6@n@n@n@13.22	True	1	[2, 5, 7, 9, 10]	1	79.86	84.22	null	1	null	NONE	4
CDNS	302.95	1	False	10.3	23	1	null	null	null	null	null	R@347.72@260827@4.35@1.31@T@n@n|R@355.59@260728@5.11@2.15@T@n@n|R@365.01@260508@6.02@0.88@F@n@n|R@391.0@260713@8.55@0.59@F@n@n|P@416.69@n@11.04@n@n@n@n|A@439.85@n@13.29@n@n@n@n|B@469.3@n@16.15@n@n@n@n|D@501.82@n@19.3@n@n@n@n|C@554.43@n@24.41@n@n@n@n	False	1	[3, 3, 3, 7, 9]	4	302.4	321.49	null	1	null	NONE	2
STX	919.84	2	False	54.35	25	1	null	null	null	null	null	R@921.78@260731@0.04@1.12@F@n@n|R@966.8@260603@0.86@0.79@F@n@n|R@1013.99@260817@1.73@0.79@F@n@n|R@1145.0@260618@4.14@2.24@T@n@n|A@1238.33@n@5.86@n@n@n@n|B@1357.04@n@8.04@n@n@n@n|D@1488.11@n@10.46@n@n@n@n|C@1700.15@n@14.36@n@n@n@n	False	2	[0, 3, 5, 10, 10]	1	837.44	843.86	null	1	null	NONE	4
CRDO	192.56	1	False	13.96	50	1	null	null	null	null	null	R@198.97@260424@0.46@0.89@F@n@n|R@210.97@260511@1.32@1.11@F@n@n|R@241.14@260723@3.48@0.54@F@n@n|R@280.5@260706@6.3@0.67@F@n@n|P@308.67@n@8.32@n@n@n@n|A@338.23@n@10.43@n@n@n@n|B@375.83@n@13.13@n@n@n@n|D@417.34@n@16.1@n@n@n@n|C@484.5@n@20.91@n@n@n@n	False	1	[3, 3, 5, 9, 10]	1	185.18	211.36	null	1	null	NONE	2
